"","Año","sexo","grupo_edad","Poblacion"
"1",1855,"Femenino","0 - 4",4795
"2",1855,"Femenino","10 - 14",4169
"3",1855,"Femenino","15 - 19",5295
"4",1855,"Femenino","20 - 24",5035
"5",1855,"Femenino","25 - 29",5075
"6",1855,"Femenino","30 - 34",4169
"7",1855,"Femenino","35 - 39",2742
"8",1855,"Femenino","40 - 44",2744
"9",1855,"Femenino","45 - 49",1883
"10",1855,"Femenino","5 - 9",4434
"11",1855,"Femenino","50 - 54",1934
"12",1855,"Femenino","55 - 59",870
"13",1855,"Femenino","60 - 64",1406
"14",1855,"Femenino","65 - 69",419
"15",1855,"Femenino","70 - 74",521
"16",1855,"Femenino","75 - 79",185
"17",1855,"Femenino","80 - 84",261
"18",1855,"Femenino","85 y más",138
"19",1855,"Masculino","0 - 4",-4792
"20",1855,"Masculino","10 - 14",-4321
"21",1855,"Masculino","15 - 19",-4193
"22",1855,"Masculino","20 - 24",-5165
"23",1855,"Masculino","25 - 29",-5327
"24",1855,"Masculino","30 - 34",-4812
"25",1855,"Masculino","35 - 39",-3441
"26",1855,"Masculino","40 - 44",-2860
"27",1855,"Masculino","45 - 49",-1970
"28",1855,"Masculino","5 - 9",-4500
"29",1855,"Masculino","50 - 54",-1777
"30",1855,"Masculino","55 - 59",-1000
"31",1855,"Masculino","60 - 64",-1091
"32",1855,"Masculino","65 - 69",-394
"33",1855,"Masculino","70 - 74",-507
"34",1855,"Masculino","75 - 79",-207
"35",1855,"Masculino","80 - 84",-161
"36",1855,"Masculino","85 y más",-116
"37",1869,"Femenino","0 - 4",10266
"38",1869,"Femenino","10 - 14",9602
"39",1869,"Femenino","15 - 19",9190
"40",1869,"Femenino","20 - 24",8185
"41",1869,"Femenino","25 - 29",8455
"42",1869,"Femenino","30 - 34",7002
"43",1869,"Femenino","35 - 39",4932
"44",1869,"Femenino","40 - 44",4918
"45",1869,"Femenino","45 - 49",3309
"46",1869,"Femenino","5 - 9",9472
"47",1869,"Femenino","50 - 54",2999
"48",1869,"Femenino","55 - 59",1534
"49",1869,"Femenino","60 - 64",1433
"50",1869,"Femenino","65 - 69",884
"51",1869,"Femenino","70 - 74",818
"52",1869,"Femenino","75 - 79",200
"53",1869,"Femenino","80 - 84",232
"54",1869,"Femenino","85 y más",231
"55",1869,"Masculino","0 - 4",-10008
"56",1869,"Masculino","10 - 14",-10437
"57",1869,"Masculino","15 - 19",-9542
"58",1869,"Masculino","20 - 24",-11734
"59",1869,"Masculino","25 - 29",-12740
"60",1869,"Masculino","30 - 34",-11180
"61",1869,"Masculino","35 - 39",-8223
"62",1869,"Masculino","40 - 44",-6608
"63",1869,"Masculino","45 - 49",-5046
"64",1869,"Masculino","5 - 9",-8945
"65",1869,"Masculino","50 - 54",-3398
"66",1869,"Masculino","55 - 59",-1735
"67",1869,"Masculino","60 - 64",-1894
"68",1869,"Masculino","65 - 69",-742
"69",1869,"Masculino","70 - 74",-727
"70",1869,"Masculino","75 - 79",-168
"71",1869,"Masculino","80 - 84",-222
"72",1869,"Masculino","85 y más",-115
"73",1887,"Femenino","0 - 4",26077
"74",1887,"Femenino","10 - 14",21148
"75",1887,"Femenino","15 - 19",20284
"76",1887,"Femenino","20 - 24",21498
"77",1887,"Femenino","25 - 29",19426
"78",1887,"Femenino","30 - 34",14717
"79",1887,"Femenino","35 - 39",12619
"80",1887,"Femenino","40 - 44",9747
"81",1887,"Femenino","45 - 49",6845
"82",1887,"Femenino","5 - 9",21864
"83",1887,"Femenino","50 - 54",5535
"84",1887,"Femenino","55 - 59",3165
"85",1887,"Femenino","60 - 64",3065
"86",1887,"Femenino","65 - 69",1636
"87",1887,"Femenino","70 - 74",1030
"88",1887,"Femenino","75 - 79",606
"89",1887,"Femenino","80 - 84",360
"90",1887,"Femenino","85 y más",272
"91",1887,"Femenino","Ignorado",329
"92",1887,"Masculino","0 - 4",-26503
"93",1887,"Masculino","10 - 14",-21008
"94",1887,"Masculino","15 - 19",-20783
"95",1887,"Masculino","20 - 24",-26825
"96",1887,"Masculino","25 - 29",-31719
"97",1887,"Masculino","30 - 34",-26216
"98",1887,"Masculino","35 - 39",-21097
"99",1887,"Masculino","40 - 44",-16606
"100",1887,"Masculino","45 - 49",-11373
"101",1887,"Masculino","5 - 9",-21642
"102",1887,"Masculino","50 - 54",-7917
"103",1887,"Masculino","55 - 59",-4448
"104",1887,"Masculino","60 - 64",-3239
"105",1887,"Masculino","65 - 69",-1710
"106",1887,"Masculino","70 - 74",-889
"107",1887,"Masculino","75 - 79",-433
